player_id,player_name,position,team,games,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,completions,attempts,passing_yards,passing_tds,interceptions,snap_pct
00-0034775,Christian Kirk,WR,JAX,8,43.900000000000006,70.9,0,0.0,0,47,27,379.0,1,0,0,0.0,0,0.0,0.7
00-0034777,DJ Chark,WR,LAC,4,9.1,13.1,0,0.0,0,10,4,31.0,1,0,0,0.0,0,0.0,0.25
00-0034791,Nick Chubb,RB,CLE,8,58.3,63.3,102,332.0,3,11,5,31.0,1,0,0,0.0,0,0.0,0.4125
00-0034796,Lamar Jackson,QB,BAL,17,430.38000000000005,430.38000000000005,139,915.0,4,0,0,0.0,0,316,474,4172.0,41,4.0,0.9689473684210527
00-0034798,Durham Smythe,TE,MIA,13,5.300000000000001,14.3,0,0.0,0,17,9,53.0,0,0,0,0.0,0,0.0,0.32235294117647056
00-0034827,DJ Moore,WR,CHI,17,140.1,238.1,14,75.0,0,140,98,966.0,6,0,1,0.0,0,0.0,0.9382352941176471
00-0034829,Mike Gesicki,TE,CIN,16,76.5,141.5,0,0.0,0,83,65,665.0,2,0,0,0.0,0,0.0,0.4476470588235294
00-0034830,Hayden Hurst,TE,LAC,7,7.300000000000001,15.3,0,0.0,0,13,8,73.0,0,0,0,0.0,0,0.0,0.33111111111111113
00-0034837,Calvin Ridley,WR,TEN,17,135.20000000000002,199.20000000000002,8,55.0,1,120,64,1017.0,4,0,0,0.0,0,0.0,0.8129411764705883
00-0034844,Saquon Barkley,RB,PHI,16,322.3,355.3,345,2005.0,13,43,33,278.0,2,0,0,0.0,0,0.0,0.751
00-0034854,KhaDarel Hodge,WR,ATL,6,25.1,32.1,0,0.0,0,12,7,131.0,1,0,0,0.0,0,0.0,0.19999999999999998
00-0034855,Baker Mayfield,QB,TB,17,365.8,365.8,60,378.0,3,0,0,0.0,0,407,570,4500.0,41,16.0,0.9861111111111112
00-0034857,Josh Allen,QB,BUF,16,372.34000000000003,372.34000000000003,102,531.0,12,0,0,0.0,0,307,483,3731.0,28,6.0,0.9035
00-0034860,Dante Pettis,WR,NO,8,20.0,32.0,0,0.0,0,28,12,120.0,1,0,0,0.0,0,0.0,0.3075
00-0034869,Sam Darnold,QB,MIN,17,307.96,307.96,67,212.0,1,0,0,0.0,0,361,545,4319.0,35,12.0,0.9944444444444444
00-0034928,Steven Sims,WR,BAL,1,0.0,0.0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.038181818181818185
00-0034959,Andrew Beck,RB,HOU,2,0.0,0.0,0,0.0,0,2,0,0.0,0,0,0,0.0,0,0.0,
00-0034960,Jakobi Meyers,WR,LV,15,131.0,218.0,2,23.0,0,129,87,1027.0,4,0,0,0.0,0,0.0,0.9166666666666666
00-0034972,Alexander Mattison,RB,LV,14,101.4,137.4,132,420.0,4,48,36,294.0,1,0,0,0.0,0,0.0,0.4907142857142857
00-0034975,Justice Hill,RB,BAL,15,85.10000000000001,127.10000000000001,47,228.0,1,51,42,383.0,3,0,0,0.0,0,0.0,0.41529411764705887
00-0034981,Foster Moreau,TE,NO,15,71.3,103.3,0,0.0,0,43,32,413.0,5,0,0,0.0,0,0.0,0.6911764705882353
00-0035021,Ashton Dulin,WR,IND,9,17.2,19.2,5,45.0,0,8,2,67.0,1,0,0,0.0,0,0.0,0.19866666666666666
00-0035100,Jake Browning,QB,CIN,2,-0.2,-0.2,2,-2.0,0,0,0,0.0,0,0,0,0.0,0,0.0,
