player_id,player_name,red_zone_touches,goal_line_touches,total_touches,red_zone_share,goal_line_share
00-0030565,G.Smith,8.0,3.0,53.0,0.1509433962264151,0.05660377358490566
00-0035140,M.Hardman,8.0,1.0,19.0,0.42105263157894735,0.05263157894736842
00-0038396,E.Gray,8.0,3.0,25.0,0.32,0.12
00-0036527,D.Turner,7.0,0.0,34.0,0.20588235294117646,0.0
00-0038040,Z.White,7.0,2.0,73.0,0.0958904109589041,0.0273972602739726
00-0036626,D.Brown,7.0,1.0,61.0,0.11475409836065574,0.01639344262295082
00-0036980,E.Moore,7.0,1.0,103.0,0.06796116504854369,0.009708737864077669
00-0037545,R.Shaheed,7.0,1.0,47.0,0.14893617021276595,0.02127659574468085
00-0039424,D.Vele,7.0,1.0,57.0,0.12280701754385964,0.017543859649122806
00-0033217,M.Alie-Cox,7.0,1.0,23.0,0.30434782608695654,0.043478260869565216
00-0034407,R.McCloud,7.0,0.0,97.0,0.07216494845360824,0.0
00-0034364,J.Akins,7.0,0.0,58.0,0.1206896551724138,0.0
00-0039491,J.Coker,7.0,2.0,46.0,0.15217391304347827,0.043478260869565216
00-0033921,C.Godwin,7.0,3.0,63.0,0.1111111111111111,0.047619047619047616
00-0033881,E.Engram,7.0,3.0,67.0,0.1044776119402985,0.04477611940298507
00-0033869,M.Trubisky,7.0,0.0,20.0,0.35,0.0
00-0033555,M.Hollins,7.0,2.0,58.0,0.1206896551724138,0.034482758620689655
00-0039152,W.Levis,7.0,0.0,45.0,0.15555555555555556,0.0
00-0039793,A.Barner,7.0,3.0,38.0,0.18421052631578946,0.07894736842105263
00-0034869,S.Darnold,7.0,2.0,71.0,0.09859154929577464,0.028169014084507043
00-0035689,D.Knox,7.0,0.0,39.0,0.1794871794871795,0.0
00-0038979,C.Tillman,7.0,3.0,52.0,0.1346153846153846,0.057692307692307696
00-0039907,J.Polk,6.0,3.0,35.0,0.17142857142857143,0.08571428571428572
00-0036442,J.Burrow,6.0,3.0,42.0,0.14285714285714285,0.07142857142857142
00-0038621,D.Douglas,6.0,2.0,90.0,0.06666666666666667,0.022222222222222223
00-0039356,J.Sanders,6.0,2.0,43.0,0.13953488372093023,0.046511627906976744
00-0037509,S.McCormick,6.0,2.0,46.0,0.13043478260869565,0.043478260869565216
00-0034386,Ju.Watson,6.0,2.0,34.0,0.17647058823529413,0.058823529411764705
00-0037664,A.Pierce,6.0,2.0,69.0,0.08695652173913043,0.028985507246376812
00-0036876,K.Granson,6.0,0.0,31.0,0.1935483870967742,0.0
00-0037809,C.Okonkwo,6.0,2.0,72.0,0.08333333333333333,0.027777777777777776
00-0031595,M.Burton,6.0,5.0,17.0,0.35294117647058826,0.29411764705882354
00-0031544,A.Cooper,6.0,0.0,93.0,0.06451612903225806,0.0
00-0039874,J.Wright,6.0,0.0,74.0,0.08108108108108109,0.0
00-0033857,J.Smith-Schuster,6.0,1.0,32.0,0.1875,0.03125
00-0039746,W.Shipley,6.0,1.0,38.0,0.15789473684210525,0.02631578947368421
00-0033526,S.Perine,6.0,2.0,59.0,0.1016949152542373,0.03389830508474576
00-0031588,S.Diggs,6.0,1.0,67.0,0.08955223880597014,0.014925373134328358
00-0039798,I.Davis,6.0,1.0,42.0,0.14285714285714285,0.023809523809523808
00-0037239,C.Olave,6.0,1.0,45.0,0.13333333333333333,0.022222222222222223
00-0038041,J.Ferguson,6.0,1.0,86.0,0.06976744186046512,0.011627906976744186
00-0037276,T.Chandler,6.0,0.0,62.0,0.0967741935483871,0.0
00-0038935,B.Strange,6.0,2.0,53.0,0.11320754716981132,0.03773584905660377
00-0036309,D.Mooney,6.0,2.0,106.0,0.05660377358490566,0.018867924528301886
00-0038976,M.Mims,6.0,2.0,72.0,0.08333333333333333,0.027777777777777776
00-0039066,M.Mayer,6.0,0.0,32.0,0.1875,0.0
00-0035406,L.Humphrey,6.0,2.0,45.0,0.13333333333333333,0.044444444444444446
00-0036261,B.Aiyuk,6.0,1.0,47.0,0.1276595744680851,0.02127659574468085
00-0039074,D.Allen,6.0,1.0,15.0,0.4,0.06666666666666667
00-0035341,T.Irwin,6.0,3.0,10.0,0.6,0.3
00-0038720,J.Hill,6.0,1.0,20.0,0.3,0.05
00-0038951,S.Tucker,5.0,3.0,62.0,0.08064516129032258,0.04838709677419355
00-0036754,B.Wright,5.0,2.0,16.0,0.3125,0.125
00-0036849,T.Atwell,5.0,1.0,66.0,0.07575757575757576,0.015151515151515152
00-0039391,K.Vidal,5.0,0.0,52.0,0.09615384615384616,0.0
00-0037837,C.Austin,5.0,1.0,60.0,0.08333333333333333,0.016666666666666666
00-0037258,D.Pierce,5.0,0.0,51.0,0.09803921568627451,0.0
00-0035644,N.Fant,5.0,1.0,64.0,0.078125,0.015625
00-0032394,N.Vannett,5.0,2.0,20.0,0.25,0.1
00-0039851,D.Maye,5.0,1.0,54.0,0.09259259259259259,0.018518518518518517
00-0033662,C.Rush,5.0,0.0,26.0,0.19230769230769232,0.0
00-0036422,A.Trautman,5.0,0.0,23.0,0.21739130434782608,0.0
00-0033537,D.Watson,5.0,2.0,31.0,0.16129032258064516,0.06451612903225806
00-0033246,J.Mundt,5.0,2.0,30.0,0.16666666666666666,0.06666666666666667
00-0038589,J.Whyle,5.0,1.0,38.0,0.13157894736842105,0.02631578947368421
00-0038128,M.Willis,5.0,3.0,20.0,0.25,0.15
00-0029892,K.Juszczyk,5.0,2.0,36.0,0.1388888888888889,0.05555555555555555
00-0038608,K.Boutte,5.0,3.0,69.0,0.07246376811594203,0.043478260869565216
00-0039344,J.Brooks,5.0,1.0,12.0,0.4166666666666667,0.08333333333333333
00-0034613,T.Hudson,5.0,3.0,25.0,0.2,0.12
00-0034775,C.Kirk,5.0,2.0,47.0,0.10638297872340426,0.0425531914893617
00-0031235,O.Beckham,4.0,1.0,18.0,0.2222222222222222,0.05555555555555555
00-0035662,M.Brown,4.0,0.0,28.0,0.14285714285714285,0.0
00-0033591,N.Brown,4.0,0.0,56.0,0.07142857142857142,0.0
00-0038636,K.McIntosh,4.0,0.0,35.0,0.11428571428571428,0.0
00-0033576,E.Saubert,4.0,1.0,14.0,0.2857142857142857,0.07142857142857142
00-0037557,R.Rivers,4.0,0.0,31.0,0.12903225806451613,0.0
00-0039920,M.Corley,4.0,0.0,8.0,0.5,0.0
00-0034860,D.Pettis,4.0,2.0,29.0,0.13793103448275862,0.06896551724137931
