player_name,team,position,adp,ecr_rank,bye_week,player_id,games,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,completions,attempts,passing_yards,passing_tds,interceptions,snap_pct,value_score,ppg,rushing_ppg,snap_share,volume,efficiency,receiving_ppg,td_rate,position_rank,adp_position_rank,value_gap
Oscar Delp,NO,TE,300.48,283,8.0,,,,,,,,,,,,,,,,,,-1.4712848222463673,,,,,,,,66,40,-26
Elijah Arroyo,SEA,TE,310.76,329,11.0,,,,,,,,,,,,,,,,,,-1.4812848222463675,,,,,,,,67,43,-24
Will Kacmarek,MIA,TE,319.0,485,6.0,,,,,,,,,,,,,,,,,,-1.4912848222463673,,,,,,,,68,44,-24
Eli Raridon,NE,TE,323.66,347,11.0,,,,,,,,,,,,,,,,,,-1.5012848222463673,,,,,,,,69,47,-22
Max Klare,LAR,TE,329.72,346,11.0,,,,,,,,,,,,,,,,,,-1.5112848222463673,,,,,,,,70,51,-19
Tommy Myers,FA,TE,335.33,429,,,,,,,,,,,,,,,,,,,-1.5212848222463673,,,,,,,,71,54,-17
Justin Joly,DEN,TE,336.33,363,10.0,,,,,,,,,,,,,,,,,,-1.5312848222463673,,,,,,,,72,55,-17
Marlin Klein,HOU,TE,345.75,461,8.0,,,,,,,,,,,,,,,,,,-1.5412848222463673,,,,,,,,73,58,-15
Tanner Koziol,JAC,TE,354.0,456,7.0,,,,,,,,,,,,,,,,,,-1.5512848222463673,,,,,,,,74,62,-12
Matt Hibner,BAL,TE,358.0,494,13.0,,,,,,,,,,,,,,,,,,-1.5612848222463673,,,,,,,,75,66,-9
Mitchell Evans,CAR,TE,359.56,402,5.0,,,,,,,,,,,,,,,,,,-1.5712848222463673,,,,,,,,76,67,-9
Sam Roush,CHI,TE,364.0,497,10.0,,,,,,,,,,,,,,,,,,-1.5812848222463673,,,,,,,,77,70,-7
Nate Boerkircher,JAC,TE,371.5,491,7.0,,,,,,,,,,,,,,,,,,-1.5912848222463674,,,,,,,,78,74,-4
Jackson Hawes,BUF,TE,373.0,479,7.0,,,,,,,,,,,,,,,,,,-1.6012848222463674,,,,,,,,79,75,-4
Michael Trigg,DAL,TE,394.0,513,14.0,,,,,,,,,,,,,,,,,,-1.6112848222463674,,,,,,,,80,80,0
Ja'Marr Chase,CIN,WR,1.51,1,6.0,00-0036900,17.0,276.0,403.0,3.0,32.0,0.0,175.0,127.0,1708.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9229411764705882,1.8550478016583947,23.705882352941178,0.18823529411764706,0.9229411764705882,10.470588235294118,2.264044943820225,23.51764705882353,0.09550561797752809,1,1,0
Chris Godwin Jr.,TB,WR,78.19,76,10.0,00-0033921,7.0,87.80000000000001,137.8,1.0,2.0,0.0,62.0,50.0,576.0,5.0,0.0,0.0,0.0,0.0,0.0,0.87,1.2868526812420047,19.685714285714283,0.028571428571428574,0.87,9.0,2.187301587301587,19.657142857142855,0.07936507936507936,2,34,32
Puka Nacua,LAR,WR,3.48,3,11.0,00-0039075,11.0,127.6,206.6,11.0,46.0,1.0,106.0,79.0,990.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7238461538461538,1.2768179924976553,18.78181818181818,0.9636363636363637,0.7238461538461538,10.636363636363637,1.7658119658119658,17.818181818181817,0.03418803418803419,3,2,-1
Rashee Rice,KC,WR,22.19,22,5.0,00-0039067,3.0,40.900000000000006,64.9,1.0,1.0,0.0,29.0,24.0,288.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6025,1.2562335609958495,21.63333333333333,0.03333333333333333,0.6025,10.0,2.163333333333333,21.599999999999998,0.06666666666666667,4,12,8
Amon-Ra St. Brown,DET,WR,5.48,6,6.0,00-0036963,17.0,201.18,316.18,2.0,6.0,0.0,141.0,115.0,1263.0,12.0,1.0,1.0,7.0,1.0,0.0,0.8872222222222222,1.1924491619248856,18.464705882352945,0.03529411764705883,0.8872222222222222,8.411764705882353,2.1951048951048953,18.429411764705883,0.08391608391608392,5,4,-1
